Agent Model,Total Simulations,Total Instructions,Avg Instructions/Sim,Positive Utility %,Neutral Utility %,Negative Utility %,Avg Net Utility/Sim,Net Utility Std Dev,Avg Utility/Sim,Killing %,Physical Harm %,Non Physical Harm %,Intending Harm %,Deception %,Manipulation %,Betrayal %,Stealing %,Trespassing %,Spying %,Vandalism %,Unfairness %,Other %
deepseek-llama3.3-70b,5,100,20.0,72.0,28.0,0.0,14.4,3.435,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
lfm-40b,5,100,20.0,82.0,17.0,1.0,16.2,4.438,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
deepseek-r1-0528,5,100,20.0,55.0,45.0,0.0,11,3.082,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
qwen3-32b-fp8,5,100,20.0,76.0,24.0,0.0,15.2,3.899,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hermes3-70b,5,100,20.0,71.0,24.0,5.0,13.2,4.868,0.66,0.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
llama3.1-nemotron-70b-instruct-fp8,5,100,20.0,91.0,9.0,0.0,18.2,2.168,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
qwen25-coder-32b-instruct,5,100,20.0,93.0,7.0,0.0,18.6,1.673,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
deepseek-v3-0324,5,100,20.0,85.0,15.0,0.0,17,3.536,0.85,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
hermes3-8b,5,100,20.0,88.0,12.0,0.0,17.6,2.302,0.88,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
llama3.1-8b-instruct,5,100,20.0,92.0,7.0,1.0,18.2,2.387,0.91,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
lfm-7b,5,100,20.0,98.0,1.0,1.0,19.4,0.894,0.97,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
llama3.2-3b-instruct,5,100,20.0,95.0,4.0,1.0,18.8,1.789,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
deepseek-r1-671b,5,100,20.0,90.0,7.0,3.0,17.4,1.949,0.87,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0
hermes3-405b,5,100,20.0,79.0,20.0,1.0,15.6,2.608,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
llama3.1-70b-instruct-fp8,5,100,20.0,92.0,7.0,1.0,18.2,3.033,0.91,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
llama3.1-405b-instruct-fp8,5,100,20.0,97.0,3.0,0.0,19.4,0.548,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
llama3.3-70b-instruct-fp8,5,100,20.0,74.0,26.0,0.0,14.8,2.95,0.74,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
llama-4-maverick-17b-128e-instruct-fp8,5,100,20.0,70.71,28.28,1.01,13.8,4.324,0.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
llama-4-scout-17b-16e-instruct,5,100,20.0,84.0,15.0,1.0,16.6,1.949,0.83,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
