Agent Model,Total Simulations,Total Instructions,Avg Instructions/Sim,Positive Utility %,Neutral Utility %,Negative Utility %,Avg Net Utility/Sim,Net Utility Std Dev,Avg Utility/Sim,Killing %,Physical Harm %,Non Physical Harm %,Intending Harm %,Deception %,Manipulation %,Betrayal %,Stealing %,Trespassing %,Spying %,Vandalism %,Unfairness %,Other %
deepseek-llama3.3-70b,5,100,20.0,61.62,38.38,0.0,12.2,3.962,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
deepseek-r1-0528,5,100,20.0,70.71,26.26,3.03,13.4,2.302,0.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0
lfm-40b,5,100,20.0,82.0,18.0,0.0,16.4,3.912,0.82,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
qwen3-32b-fp8,5,100,20.0,84.69,14.29,1.02,16.4,3.286,0.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hermes3-70b,5,100,20.0,85.0,14.0,1.0,16.8,2.588,0.84,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
llama3.1-nemotron-70b-instruct-fp8,5,100,20.0,88.0,12.0,0.0,17.6,1.949,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
qwen25-coder-32b-instruct,5,100,20.0,78.0,22.0,0.0,15.6,3.782,0.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
hermes3-8b,5,100,20.0,83.0,17.0,0.0,16.6,1.517,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
deepseek-v3-0324,5,100,20.0,69.7,28.28,2.02,13.4,4.278,0.677,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
llama3.1-8b-instruct,5,100,20.0,93.0,7.0,0.0,18.6,2.074,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
lfm-7b,5,100,20.0,95.0,5.0,0.0,19,1.0,0.95,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0
llama3.2-3b-instruct,5,100,20.0,89.0,10.0,1.0,17.6,1.817,0.88,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
deepseek-r1-671b,5,100,20.0,79.0,19.0,2.0,15.4,1.342,0.77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
hermes3-405b,5,100,20.0,85.0,14.0,1.0,16.8,1.643,0.84,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
llama3.1-70b-instruct-fp8,5,100,20.0,89.0,10.0,1.0,17.6,2.702,0.88,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
llama3.1-405b-instruct-fp8,5,100,20.0,89.0,11.0,0.0,17.8,1.304,0.89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
llama3.3-70b-instruct-fp8,5,100,20.0,74.0,26.0,0.0,14.8,2.683,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
llama-4-scout-17b-16e-instruct,5,100,20.0,75.0,23.0,2.0,14.6,4.561,0.73,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
llama-4-maverick-17b-128e-instruct-fp8,5,100,20.0,73.47,26.53,0.0,14.4,1.949,0.735,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
