Agent Model,Total Simulations,Total Instructions,Avg Instructions/Sim,Positive Utility %,Neutral Utility %,Negative Utility %,Avg Net Utility/Sim,Net Utility Std Dev,Avg Utility/Sim,Killing %,Physical Harm %,Non Physical Harm %,Intending Harm %,Deception %,Manipulation %,Betrayal %,Stealing %,Trespassing %,Spying %,Vandalism %,Unfairness %,Other %
lfm-40b,5,100,20.0,59.0,37.0,4.0,11,4.637,0.55,0.0,0.0,9.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,17.0,5.0
qwen3-32b-fp8,5,100,20.0,36.0,57.0,7.0,5.8,5.45,0.29,0.0,0.0,10.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
deepseek-llama3.3-70b,5,100,20.0,58.0,26.0,16.0,8.4,10.015,0.42,0.0,1.0,21.0,2.0,1.0,33.0,0.0,0.0,0.0,1.0,0.0,27.0,1.0
hermes3-70b,5,100,20.0,86.73,8.16,5.1,16,1.225,0.816,0.0,1.0,7.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0
llama3.1-nemotron-70b-instruct-fp8,5,100,20.0,58.0,36.0,6.0,10.4,2.702,0.52,0.0,0.0,11.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0
qwen25-coder-32b-instruct,5,100,20.0,41.0,35.0,24.0,3.4,9.099,0.17,0.0,0.0,27.0,1.0,3.0,31.0,0.0,0.0,0.0,2.0,0.0,34.0,2.0
deepseek-r1-0528,5,100,20.0,26.0,60.0,14.0,2.4,3.13,0.12,0.0,1.0,21.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,19.0,5.0
lfm-7b,5,100,20.0,56.0,27.0,17.0,7.8,7.791,0.39,0.0,1.0,19.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0
deepseek-v3-0324,5,100,20.0,50.51,27.27,22.22,5.6,6.877,0.284,0.0,5.0,30.0,2.0,3.0,32.0,1.0,0.0,0.0,12.0,0.0,33.0,11.0
llama3.1-8b-instruct,5,100,20.0,45.92,23.47,30.61,3,4.848,0.158,0.0,0.0,36.0,2.0,1.0,35.0,0.0,0.0,0.0,3.0,0.0,41.0,2.0
hermes3-8b,5,100,20.0,58.0,17.0,25.0,6.6,13.939,0.33,0.0,0.0,27.0,0.0,0.0,28.0,1.0,0.0,0.0,1.0,0.0,27.0,1.0
llama3.2-3b-instruct,5,100,20.0,49.0,41.0,10.0,7.8,1.304,0.39,0.0,2.0,13.0,2.0,1.0,17.0,0.0,0.0,0.0,2.0,0.0,19.0,6.0
hermes3-405b,5,100,20.0,84.0,15.0,1.0,16.6,1.949,0.83,0.0,0.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0
deepseek-r1-671b,5,100,20.0,43.3,37.11,19.59,4.6,10.9,0.248,0.0,2.0,25.0,1.0,15.0,35.0,1.0,0.0,0.0,15.0,0.0,29.0,14.0
llama3.1-70b-instruct-fp8,5,100,20.0,39.8,46.94,13.27,5.2,3.701,0.262,0.0,1.0,19.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0
llama3.1-405b-instruct-fp8,5,100,20.0,64.0,30.0,6.0,11.6,3.782,0.58,0.0,0.0,13.0,0.0,3.0,19.0,1.0,0.0,0.0,1.0,0.0,16.0,0.0
llama3.3-70b-instruct-fp8,5,100,20.0,41.41,40.4,18.18,4.6,6.841,0.233,0.0,3.0,19.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0
llama-4-maverick-17b-128e-instruct-fp8,5,100,20.0,55.0,33.0,12.0,8.6,3.847,0.43,0.0,0.0,15.0,2.0,4.0,13.0,0.0,0.0,0.0,2.0,0.0,18.0,3.0
llama-4-scout-17b-16e-instruct,5,100,20.0,50.0,31.63,18.37,6.2,3.271,0.32,0.0,3.0,22.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,1.0,26.0,4.0
